Start_DF1	End_DF1	Start_DF2	End_DF2	Overlap_Percentage_DF1	Overlap_Percentage_DF2	Strand_DF1	Strand_DF2	Feature_DF1	Feature_DF2	Tools_DF1	Tools_DF2
1	90	NA	NA	0	0	+	NA	CDS	NA	gms2	NA
177	626	177	545	82	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
688	1620	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
1773	2351	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
2367	2624	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
2656	3228	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
3282	4469	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
4631	5644	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
5994	9425	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
9458	12127	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
12161	12712	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
12879	13988	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
14395	15048	14395	14955	85.7798165137615	100	-	-	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
15244	16212	15244	16200	98.7616099071207	100	-	-	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
16268	19501	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
19611	20435	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
20643	21170	20667	21170	95.4545454545455	100	+	+	CDS	CDS	gms2, prodigal, prokka, rast	glimmer
21364	25656	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
25821	26408	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
26450	27571	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
27683	28108	27731	28108	88.7323943661972	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
28253	29449	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
29580	30332	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
30428	31048	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
31135	31893	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
31981	34737	32049	32261	7.72578890097933	100	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
31981	34737	32299	34737	88.4657236126224	100	+	+	CDS	CDS	gms2, glimmer, prodigal, prokka	rast
34839	36350	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
36371	36592	36452	36592	63.5135135135135	100	+	+	CDS	CDS	glimmer, prodigal, prokka	gms2, rast
36605	37624	36605	37615	99.1176470588235	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
38293	39369	38329	39369	96.6573816155989	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
39397	39951	39397	39876	86.4864864864865	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
40062	41180	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
41194	42720	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
42884	43936	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
43999	44781	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
43999	44781	44773	46233	1.14942528735632	0.616016427104723	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
44773	46233	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
46288	46998	46288	46980	97.4683544303797	100	-	-	CDS	CDS	gms2, glimmer	prodigal, prokka, rast
47132	47290	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
47880	47955	47916	48041	52.6315789473684	31.7460317460317	+	+	tRNA	CDS	prokka, rast	glimmer
48600	49676	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
49892	50170	49898	50170	97.8494623655914	100	+	+	CDS	CDS	prodigal, prokka	gms2
50252	50965	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
51065	51592	51065	51409	65.3409090909091	100	-	-	CDS	CDS	glimmer	gms2, rast
51065	51616	51065	51409	62.5	100	-	-	CDS	CDS	prodigal, prokka	gms2, rast
51065	51616	51065	51592	95.6521739130435	100	-	-	CDS	CDS	prodigal, prokka	glimmer
51638	52909	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
51638	52909	52906	53064	0.314465408805031	2.51572327044025	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	glimmer
51638	52909	52906	53031	0.314465408805031	3.17460317460317	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	rast
52906	53064	52906	53031	79.2452830188679	100	-	-	CDS	CDS	glimmer	rast
53100	53330	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
53664	54695	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
53664	54695	54682	55593	1.35658914728682	1.53508771929825	+	-	CDS	CDS	gms2, glimmer, prodigal, prokka, rast	gms2, glimmer, prodigal, prokka, rast
54682	55593	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
55722	56732	55782	56732	94.0652818991098	100	+	+	CDS	CDS	prodigal, prokka	gms2, glimmer
55722	56732	55731	56732	99.1097922848665	100	+	+	CDS	CDS	prodigal, prokka	rast
55731	56732	55782	56732	94.9101796407186	100	+	+	CDS	CDS	rast	gms2, glimmer
56784	57998	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
58081	59112	58081	59079	96.8023255813954	100	-	-	CDS	CDS	glimmer	gms2, prodigal, prokka, rast
59244	59762	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
59763	60263	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
60538	61908	60550	61908	99.1247264770241	100	+	+	CDS	CDS	glimmer, prodigal, prokka, rast	gms2
62041	62859	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
62907	63590	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
63636	64013	NA	NA	100	0	-	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
64241	64777	NA	NA	100	0	+	NA	CDS	NA	gms2, glimmer, prodigal, prokka, rast	NA
